"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\constants\colors.dart", "Dart", 4, 1, 2, 7
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\constants\data.dart", "Dart", 102, 0, 4, 106
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\constants\routes.dart", "Dart", 4, 0, 1, 5
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\main.dart", "Dart", 40, 0, 3, 43
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\main_controller.dart", "Dart", 27, 0, 4, 31
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\models\entries.dart", "Dart", 134, 0, 13, 147
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\models\quotes.dart", "Dart", 45, 0, 8, 53
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\models\user\first-enter.dart", "Dart", 11, 0, 5, 16
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\models\user\user-email.dart", "Dart", 37, 1, 7, 45
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\models\user\user-name.dart", "Dart", 30, 1, 6, 37
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\models\user\user.dart", "Dart", 12, 0, 3, 15
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\intro\intro.dart", "Dart", 215, 0, 11, 226
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\intro\transition\clipper.dart", "Dart", 61, 1, 13, 75
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\intro\transition\concentric_transition.dart", "Dart", 4, 0, 2, 6
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\intro\transition\page_route.dart", "Dart", 75, 14, 18, 107
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\intro\transition\page_view.dart", "Dart", 262, 1, 23, 286
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\loading\animations.dart", "Dart", 36, 0, 5, 41
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\loading\components\logo.dart", "Dart", 62, 0, 2, 64
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\loading\components\spinkit.dart", "Dart", 23, 0, 2, 25
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\loading\loading.dart", "Dart", 110, 2, 9, 121
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\login\animations.dart", "Dart", 34, 0, 4, 38
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\login\components\login_button.dart", "Dart", 53, 0, 3, 56
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\login\components\main_text_field.dart", "Dart", 67, 0, 4, 71
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\login\components\scroll_close_keyboard.dart", "Dart", 16, 0, 4, 20
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\login\components\scrollable_form.dart", "Dart", 24, 0, 5, 29
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\login\components\typing_indicator.dart", "Dart", 122, 0, 20, 142
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\login\login.dart", "Dart", 190, 1, 12, 203
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\main\bottom_bar\bottom_bar_double_bullet\bottom_bar_double_bullet.dart", "Dart", 439, 13, 68, 520
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\main\bottom_bar\bottom_bar_double_bullet\bottom_bar_double_bullet_icon.dart", "Dart", 146, 1, 16, 163
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\main\bottom_bar\bottom_bar_item.dart", "Dart", 18, 0, 4, 22
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\main\bottom_bar\clipper\custom_clipper.dart", "Dart", 81, 0, 12, 93
