"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\constants\data.dart", "Dart", -5, 0, 0, -5
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\main_controller.dart", "Dart", 3, 0, 0, 3
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\models\user\user.dart", "Dart", 1, 0, 0, 1
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\main\pages\settings\components\user-box\user-box.dart", "Dart", 103, 2, 6, 111
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\main\pages\settings\components\user-box\user-email.dart", "Dart", 77, 0, 6, 83
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\main\pages\settings\components\user-box\user-info.dart", "Dart", 203, 57, 8, 268
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\main\pages\settings\components\user-box\user-name.dart", "Dart", 73, 0, 6, 79
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\main\pages\settings\components\user-box\user_profile_image.dart", "Dart", 72, 0, 3, 75
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\pages\main\pages\settings\settings.dart", "Dart", 24, 0, 1, 25
"c:\Users\Erfan\Dev\Flutter\Projects\soulscribe\lib\widgets\divider.dart", "Dart", 17, 0, 2, 19
"Total", "-", 568, 59, 32, 659
